Source_ID,data_id_code,title,language,abstract,provider,published_year,data_public,licence,dataset_citation,domain_class,DOI,URL
1,uf_arctic_veg_2022,Raster Circumpolar Arctic Vegetation Map Version 2,english,"The Circumpolar Arctic Vegetation Map (CAVM) shows the types of vegetation that occur across the Arctic—between the Arctic Ocean to the north and the northern limit of forests (“treeline”) to the south. Here, environmental and climatic conditions are extreme, with a short growing season and low summer temperatures.

The region supports plants such as dwarf shrubs, herbs, lichens and mosses, which grow close to the ground. As one moves southward, the amount of warmth available for plant growth increases , allowing the size, abundance, and variety of plants to increase. Other environmental controls, such as elevation, topography, soil chemistry, soil moisture, and the past history of plant colonization, also influence the distribution of plant communities. The colors on the map indicate the differences that occur in the outward appearance of vegetation.

An international team of Arctic vegetation scientists representing the six countries of the Arctic—Canada, Greenland, Iceland, Norway, Russia, and the United States—prepared the map. Methods, additional thematic maps, detailed descriptions of the 16 map units, and photos of representative plant communities and species are on the reverse side. Get a more detailed overview at About the CAVM.

The Raster Circumpolar Arctic Vegetation Map (Raster CAVM) map groups over 400 described plant communities into 16 vegetation types, glaciers, saline water, and freshwater at 1-km resolution. It builds on the strengths of the original CAVM, using the same legend, extent and projection, while providing a finer spatial resolution, raster format, and improved mapping of Arctic vegetation.",University of Alaska Fairbanks,,TRUE,CC BY NC 3.0,"Raynolds, Martha; Walker, Donald (2022), “Raster Circumpolar Arctic Vegetation Map”, Mendeley Data, V2",Continental,https://doi.org/10.17632/c4xj5rv6kv.2,https://data.mendeley.com/datasets/c4xj5rv6kv/2
2,aad_macqis_veg_2015,Macquarie Island Vegetation and Drainage Structure Data Set,english,"The data for this map were collected as part of two ASAC projects - 488 and 956, of which Patricia Selkirk was the chief investigator. Macquarie Island (54 degrees S 159 degrees E) is a subantarctic island (c. 35km by 3 to 5km) approximately equidistant between Tasmania, New Zealand and Antarctica in the Southern Ocean. The vegetation is herbaceous, lacking shrubs and trees. Vegetation and drainage are mapped at a scale of 1:25 000 from field observations, satellite imagery and limited oblique and aerial photography. The categories adopted for mapping vegetation are based on attributes of foliage height and percentage foliage cover of the ground surface (vegetation structure), not on species distribution (floristics). The distribution of vegetation categories is strongly correlated with aspect, topography and rock type. Mires, streams and lakes form an intricate drainage pattern that is strongly influenced by the geology of this tectonically active emergent crest of the submarine Macquarie Ridge at the boundary of the Pacific and Australian plates. The drainage pattern of the whole island is represented in a map with substantially greater accuracy than in any previous map.",Australian Antarctic Data Centre (AADC),,TRUE,CC BY 3.0 AU DEED,"Selkirk, P., Adamson, D. and Harris, U. (1999) Macquarie Island Vegetation and Drainage Structure Data Set, Ver. 1, Australian Antarctic Data Centre - https://data.aad.gov.au/metadata/MIvegmap, Accessed: 2024-03-12",Regional,NA,https://data.gov.au/data/dataset/aad-mivegmap
3,bgis_safr_marine_2018,2018 Beta Marine Ecosystem Map,english,"A revised marine ecosystem classification system and map of the distributions of 150 marine ecosystem types was produced in 2018. More than ten years of research was consolidated to inform the revised map. Updated biogeographic information was used to refine marine ecoregions, and sub-regions nested within ecoregions were introduced.",South Africa National Biodiversity Institute,,NA,Custom,"South African National Biodiversity Institute. 2018 Beta Marine Ecosystem Map [Vector] 2018. Available from the Biodiversity GIS website, accessed on March 14, 2024",South Africa,10.3389/fevo.2023.1108118,https://bgis.sanbi.org/SpatialDataset/Detail/2681
4,doc_nz_marine_2010,MPA Policy Habitats of the Territorial Sea,english,These data were developed for an analysis of the extent to which coastal habitats in the New Zealand Territorial Sea are currently (2010) represented in areas that meet the New Zealand Marine Protected Area Protection Standard.,New Zealand Department of Conservation,,TRUE,CC BY 3.0 NZ,"New Zealand Department of Conservation (2021), MPA Policy Habitats of the Territorial Sea, available from: https://doc-marine-data-deptconservation.hub.arcgis.com/datasets/ab9d7519a4c94f57afc89ede9e72103e_0/about (accessed 14/03/2024)",New Zealand,NA,https://doc-marine-data-deptconservation.hub.arcgis.com/datasets/ab9d7519a4c94f57afc89ede9e72103e_0/about
5,unsw_myan_eco_2020,"Map of the terrestrial ecosystems of Myanmar, Version 1.0",english,"This map of the terrestrial ecosystems of Myanmar was developed using a supervised learning approach to classify earth observation data and other geospatial datasets into broad mappable units, which was then split into the ecosystem types defined by the IUCN Red List of Ecosystems of Myanmar project.The raster presents the hierarchical ecosystem typology for Myanmar, including attributes that indicate ecosystems grouped at the Biome (11 classes), Functional Ecotype (21 classes) and Ecosystem Type (64 classes) level of the Myanmar ecosystem typology.",University of New South Wales; James Cook University; Wildlife Conservation Society; IUCN Commission on Ecosystem Management; NSW Department of Planning Industry and Environment,,TRUE,CC BY 4.0,"Murray, Nicholas; Keith, David A.; TIzard, Robert; Duncan, Adam; Htut, Win Thuya; Hlaing, Nyan; et al. (2020). Map of the terrestrial ecosystems of Myanmar, Version 1.0. figshare. Dataset.",Myanmar,https://doi.org/10.6084/m9.figshare.12364067.v5,https://figshare.com/articles/dataset/Map_of_the_terrestrial_ecosystems_of_Myanmar_Version_1_0/12364067/5
6,iucn_madag_eco_2020,"Des Écosystèmes Terrestres, Côtiers Et Marins De Madagascar",french,"35 terrestrial, coastal and marine ecosystems mapped using Landsat data for assessment under the IUCN red list of ecosystems. This study was executed primarily by the department of the Minister of the Environment, Ecology and Forestry as well as local & international NGOs, local universities and land owners.",IUCN; Ministère de l’Environnement de l’Ecologie et des Forêts Madagascar; various local universities and NGOs,,FALSE,No licence,"Carré, A., Razafindrainibe, H., Rabarison, H., Randrianasolo, H., Ruiz, V., & Zarasoa (2020), LA LISTE ROUGE DES ÉCOSYSTÈMES [dataset], Union Internationale pour la Conservation de la Nature. 
À MADAGASCAR",Madagascar,NA,https://cm.iucnrle.org/assets/61103c9c-2be3-4ef1-b3e4-935320a50e87
7,rbgk_madag_veg_2007,Atlas of the vegetation of madagascar,english,"The vegetation classification produced for this atlas includes 10 major physiognomic types (forest, woodland, bushland, thicket, grassland, anthropic and so on) and incorporates 15 mappable vegetation units.",Royal Botanic Gardens Kew,,FALSE,No licence,"Moat, Justin & Smith, P.. (2007). Atlas of the vegetation of madagascar [dataset]. Kew, UK: R. Bot. Gard.",Madagascar,NA,researchgate.net/publication/312443439_Atlas_of_the_vegetation_of_madagascar
8,des_qld_veg_2021,Remnant 2021 broad vegetation groups - Queensland,english,"The State of Queensland in northeast Australia covers 1.73 million square kilometres and encompasses a wide variety of landscapes across temperate, wet and dry tropics and semiarid to arid climatic zones. Currently (April 2023), 1435 regional ecosystems are recognised across Queensland. Regional ecosystems are defined and mapped at 1:100,000 scale across the state. Many regional ecosystems include one or more vegetation communities, some of which are only recognised and mapped at scales larger than 1:100,000. A vegetation community is an association within a regional ecosystem that has similar structure and floristics and occurs within the same land zone. Broad Vegetation Groups (BVGs) are a higher-level grouping of vegetation communities and regional ecosystems. 

BVGs provide an overview of vegetation across the state or a bioregion. They are a useful addition to the regional ecosystem framework by providing an overview of major ecological patterns and relationships across Queensland, independent of bioregions and land zones, and facilitate comparisons with vegetation in other states and internationally. The primary aim of this document is to concisely describe the BVGs of Queensland to enhance their use in government planning, policy and regulation, e.g., vegetation offsets, Bushfire Hazard Area mapping, public education and scientific investigations. Floristic, structural, functional, biogeographic and landscape attributes have all been used in the BVG classification. The first aggregation of BVGs in the hierarchical classification is determined on the basis of vegetation structure (cover, height and growth form) of the ecologically dominant layer. BVGs are ordered broadly to reflect the vegetation structure along a mesic gradient from wet closed forests (rainforests) of the coast and north east, to the arid spinifex hummock grasslands of the south west.",Department of Environment and Science (Queensland),,TRUE,CC BY 4.0 DEED,"Department of Environment and Science (2021), Remnant 2021 broad vegetation groups - Queensland [dataset]. State of Queensland, Australia.",Regional,NA,https://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=%22Remnant%202021%20Broad%20Vegetation%20Groups%22
9,aca_global_reef_2022,Allen Coral Atlas,english,"The Allen Coral Atlas is built by a dedicated team of scientists, technologists, and conservationists, using one-of-a-kind methodologies. The Allen Coral Atlas was conceived and funded by the late Paul Allen’s Vulcan Inc. and is managed by the Arizona State University Center for Global Discovery and Conservation Science. Along with partners from Planet, the Coral Reef Alliance, and the University of Queensland, the Atlas utilizes high-resolution satellite imagery and advanced analytics to map and monitor the world’s coral reefs in unprecedented detail. The partnership together identified the following methods for habitat map creation, dynamic monitoring, and other related coral reef products. 

As part of the Allen Coral Atlas’s revisions to its habitat maps in 2022, a new reef extent product was generated for each mapping region. In context of this product, reef extent is defined as the location of shallow coral reef features that can generally be seen from satellites. It typically excludes areas of very deep and very turbid water. This is intended to provide a more generalized and inclusive layer that depicts the extent of the coral reef environment which is additional to the Atlas’ geomorphic zonation maps. The reef extent data product can be seen as a single layer on the Atlas and compared and analyzed alongside other datasets such as reef habitat maps and reef threat monitoring datasets. 

The underlying reef extent product is a raster at 5m pixel resolution, matching the geomorphic and benthic map products. The raster combines three sources:

1. The extent of the Allen Coral Atlas’s 12 geomorphic zones

2. The extent of our own machine learning-based coral reef habitat layer, originally developed for the Global Coral Reef Monitoring Network’s 2020 Report on the Status of Coral Reefs of the World

3. A third extent layer that: Filled in holes greater than 400 pixels (0.64Ha) and applied a morphological filter (circle kernel of 5 pixels; 25m) to smooth the reef boundaries and regain missing slope/beach features..

For the purposes of the data product made visible on the Allen Coral Atlas, these three sources are combined into one single-colored layer.

The reef extent layer more inclusively depicts the shallow coral reef environment than our more detailed benthic or geomorphic habitat maps. It includes reef features that were unmappable to geomorphic/benthic level, including deeper reef structures, reef habitat in more turbid water, deep or very steep reef slope areas, and very shallow intertidal areas at the land-sea interface. Known limitations are that some areas of supra-tidal beach and vegetation are included, which may not strictly be coral reef environments. Overall, the reef extent product is still conservative, and we expect that the area of reef erroneously included at the land-sea interface is greatly outweighed by the areas of reef still missed at both the shallow and deep margins of the product.",Allen Coral Atlas Partnership; University of New South Wales; University of Queensland; James Cook University; Australian Institute of Marine Science; Coral Reef Alliance; Arizona State University; National Geographic Society,,TRUE,CC BY 4.0,"Allen Coral Atlas (2022). Imagery, maps and monitoring of the world's tropical coral reefs. doi.org/10.5281/zenodo.3833242",Global,https://doi.org/10.5281/zenodo.3833242,https://allencoralatlas.org/atlas/#1.45/6.7737/-141.8664
10,jcu_aus_saltmarsh_2023,Australian saltmarsh and sparsely vegetated saltmarsh map version 1.0,english,"Saltmarshes are one of Australia's most widespread coastal ecosystems, yet their spatial extent around the country remains largely unquantified. Recent advances in cloud-based geospatial platforms have enabled the development of an analysis pipeline to monitor saltmarsh distribution at a continental scale. Our remote sensing pipeline builds on work to develop the first integrated global maps of tidal flat, saltmarsh and mangrove ecosystems. 

We are first compiling a large set of occurrence records to train our remote sensing classification models (at least 10,000 point records across Australia's coastline). Our training set includes field data acquired from Australia's saltmarsh research community, published papers and records developed from high-resolution image interpretation conducted at JCU's Global Ecology Lab. 

Our remote sensing classification approach uses up to 100 nationwide remote sensing-derived covariate layers to support a suite of machine-learning classification models. The classification models are tasked with estimating the coastal ecosystem type of every 30-m pixel that occurs around Australia's coastal zone. This mapping framework will be implemented as a collaborative effort between JCU, UNSW and Digital Earth Australia.

The dataset contains a national map of saltmarsh ecosystems produced via a classification of Landsat 8 images. Each pixel was classified into four map classes: saltmarsh, saltflats, other terrestrial (land), and permanent water.",James Cook University; University of New South Whales; Digital Earth Australia,,TRUE,CC BY 4.0 DEED,"Navarro, A., Canto, R., M., Lyons, M. & Murray, N.J. (2023) Australian saltmarsh and sparsely vegetated saltmarsh map version 1.0. James Cook University, Townsville.",Australia,https://doi.org/10.6084/m9.figshare.24021465,https://figshare.com/articles/dataset/Australian_saltmarsh_and_sparsely_vegetated_saltmarsh_map_version_1_0/24021465/1
11,gmw_global_mangrove_2022,Global Mangrove Extent Change 1996–2020: Global Mangrove Watch Version 3.0,english,"This study has used L-band Synthetic Aperture Radar (SAR) global mosaic datasets from the Japan Aerospace Exploration Agency (JAXA) for 11 epochs from 1996 to 2020 to develop a long-term time-series of global mangrove extent and change. The study used a map-to-image approach to change detection where the baseline map (GMW v2.5) was updated using thresholding and a contextual mangrove change mask. This approach was applied between all image-date pairs producing 10 maps for each epoch, which were summarised to produce the global mangrove time-series. The resulting mangrove extent maps had an estimated accuracy of 87.4 % (95th conf. int.: 86.2 - 88.6 %), although the accuracies of the individual gain and loss change classes were lower at 58.1 % (52.4 - 63.9 %) and 60.6 % (56.1 - 64.8 %), respectively. Sources of error included a mis-registration in the SAR mosaic datasets, which could only be partially corrected for, but also confusion in fragmented areas of mangroves, such as around aquaculture ponds. Overall, 152,604 km2 (133,996 - 176,910) of mangroves were identified for 1996, with this decreasing by -5,245 km2 (-13,587 - 3686) resulting in a total extent of 147,359 km2 (127,925 - 168,895) in 2020, and representing an estimated loss of 3.4 % over the 24-year time period. The Global Mangrove Watch Version 3.0 represents the most comprehensive record of global mangrove change achieved to date and is expected to support a wide range of activities, including the ongoing monitoring of the global coastal environment, defining and assessments of progress towards conservation targets, protected area planning and risk assessments of mangrove ecosystems worldwide.",Global Mangrove Watch team; Aberystwyth University; solo Earth Observation; Wetlands International; University of Maryland; NASA Goddard Space Flight Center; Japan Aerospace Exploration Agency; University of Cambridge; The Nature Conservancy; James Cook University; International Water Management Institute Sri Lanka,,TRUE,CC BY 4.0 LEGAL CODE,"Bunting, P., Rosenqvist, A., Hilarides, L., Lucas, R., Thomas, N., Tadono, T., Worthington, T., Spalding, M., Murray, N., & Rebelo, L.-M. (2022). Global Mangrove Watch (1996 - 2020) Version 3.0 Dataset (3.0) [Data set]. Zenodo.",Global,https://doi.org/10.5281/zenodo.6894272,https://zenodo.org/records/6894273
12,uq_global_mudflats_2022,High-resolution global maps of tidal flat ecosystems from 1984 to 2019,english,"This dataset contains global maps of tidal flat ecosystems produced via a supervised classification of 707,528 Landsat Archive images. Each pixel was classified into tidal flat, permanent water or other with reference to a globally distributed set of training data. This product depicts tidal flat ecosystems around the global coastline. Pixels classified as tidal flat in the analysis represent several types of tidal flat ecosystems, including unconsolidated fine-grain sediments (tidal mudflats), unconsolidated coarse-grain sediments (tidal sand flats), and consolidated sediments, organic material or rocks (wide tidal rock-platforms), while excluding spectral signatures indicating the presence of vegetation dominated intertidal ecosystems such as mangroves and vegetated marshes. The analysis aimed to identify pixels that are subject to regular tidal inundation, and therefore may also include other intertidal systems where intertidal dynamics are observable.",The University of Queensland; University of New South Wales; Google; Australian Institute of Marine Science,,TRUE,CC0 1.0 DEED,"Murray, Nicholas; Phinn, Stuart; Fuller, Richard; DeWitt, Michael; Ferrari, Renata; Johnston, Renee; et al. (2022). High-resolution global maps of tidal flat ecosystems from 1984 to 2019. figshare. Collection.",Global,https://doi.org/10.6084/m9.figshare.c.5884598.v1,https://springernature.figshare.com/collections/High-resolution_global_maps_of_tidal_flat_ecosystems_from_1984_to_2019/5884598/1
13,estat_global_crop_2008,Cropland and Pasture Area in 2000,english,"Agricultural activities have dramatically altered our planet’s land surface. To understand the extent and spatial distribution of these changes, this data set displays croplands and pastures circa 2000 by combining agricultural inventory data and satellite-derived land cover data. The agricultural inventory data, with much greater spatial detail than previously available, is used to train a land cover classification data set obtained by merging two different satellite-derived products (Boston University’s MODIS-derived land cover product and the GLC2000 data set). Our data are presented at 5 min (~10 km) spatial resolution in longitude by longitude, have greater accuracy than previously available, and for the first time include statistical confidence intervals on the estimates. According to the data, there were 15.0 (90% confidence range of 12.2–17.1) million km2 of cropland (12% of the Earth’s ice-free land surface) and 28.0 (90% confidence range of 23.6–30.0) million km2 of pasture (22%) in the year 2000.",EarthStat Team; University of Minnesota; University of British Colombia,,TRUE,CC BY 4.0 DEED,"Ramankutty, N., A.T. Evan, C. Monfreda, and J.A. Foley (2008), Farming the planet: 1. Geographic distribution of global agricultural lands in the year 2000. Global Biogeochemical Cycles 22, GB1003,",Global,https://doi.org/10.1029/2007GB002952.,http://www.earthstat.org/cropland-pasture-area-2000/
